TopN,int_type,source_1,source_2,p_raw,p_adj,significant (p_adj<0.05)
Top1,salt_bridge,Crystal,GNINA-AF3,1.2490312226334323e-17,6.245156113167162e-17,True
Top1,salt_bridge,Crystal,AlphaFold3,0.028103369023755334,0.03743393501148427,True
Top1,salt_bridge,GNINA-Crystal,GNINA-Apo,0.0010520729922503622,0.0017534549870839372,True
Top1,salt_bridge,GNINA-Crystal,GNINA-AF3,7.24759692546517e-18,6.245156113167162e-17,True
Top1,salt_bridge,GNINA-Crystal,AlphaFold3,0.02994714800918742,0.03743393501148427,True
Top1,salt_bridge,GNINA-Apo,GNINA-AF3,9.123300817904941e-09,2.2808252044762352e-08,True
Top1,salt_bridge,GNINA-Apo,AlphaFold3,0.22626198542415765,0.2514022060268418,False
Top1,salt_bridge,GNINA-AF3,AlphaFold3,2.887800001565929e-12,9.626000005219765e-12,True
Top1,pi_stack,Crystal,GNINA-Crystal,0.37572815702957685,0.41747573003286315,False
Top1,pi_stack,Crystal,GNINA-Apo,0.04403232965160118,0.06290332807371597,False
Top1,pi_stack,Crystal,GNINA-AF3,1.3157967095897062e-11,4.3859890319656877e-11,True
Top1,pi_stack,Crystal,AlphaFold3,0.32971311377400403,0.412141392217505,False
Top1,pi_stack,GNINA-Crystal,GNINA-Apo,0.0035785694619940083,0.005964282436656681,True
Top1,pi_stack,GNINA-Crystal,GNINA-AF3,3.0852010440907335e-14,1.5426005220453667e-13,True
Top1,pi_stack,GNINA-Crystal,AlphaFold3,0.9253387142429649,0.9253387142429649,False
Top1,pi_stack,GNINA-Apo,GNINA-AF3,7.525346247759374e-07,1.8813365619398432e-06,True
Top1,pi_stack,GNINA-Apo,AlphaFold3,0.0027622392500741607,0.005524478500148321,True
Top1,pi_stack,GNINA-AF3,AlphaFold3,1.845254272561688e-14,1.5426005220453667e-13,True
Top1,pi_cation_interaction,Crystal,GNINA-Crystal,0.5792564487181907,0.6436182763535452,False
Top1,pi_cation_interaction,Crystal,GNINA-Apo,0.17452070031092493,0.4363017507773123,False
Top1,pi_cation_interaction,Crystal,GNINA-AF3,0.4606458065190282,0.6436182763535452,False
Top1,pi_cation_interaction,Crystal,AlphaFold3,0.40421419203431985,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Crystal,GNINA-Apo,0.41948599724613855,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Crystal,GNINA-AF3,0.8503626516055418,0.8503626516055418,False
Top1,pi_cation_interaction,GNINA-Crystal,AlphaFold3,0.1669860490935684,0.4363017507773123,False
Top1,pi_cation_interaction,GNINA-Apo,GNINA-AF3,0.539833831945566,0.6436182763535452,False
Top1,pi_cation_interaction,GNINA-Apo,AlphaFold3,0.030181229201460942,0.3018122920146094,False
Top1,pi_cation_interaction,GNINA-AF3,AlphaFold3,0.11967974835753395,0.4363017507773123,False
Top1,halogen_bond,Crystal,GNINA-Crystal,0.7504298147831994,0.7504298147831994,False
Top1,halogen_bond,Crystal,GNINA-Apo,0.59667524442663,0.7458440555332875,False
Top1,halogen_bond,Crystal,GNINA-AF3,0.0021293668050784476,0.010646834025392238,True
Top1,halogen_bond,Crystal,AlphaFold3,0.38720780780976993,0.5651642545860343,False
Top1,halogen_bond,GNINA-Crystal,GNINA-Apo,0.39561497821022396,0.5651642545860343,False
Top1,halogen_bond,GNINA-Crystal,GNINA-AF3,0.0007760862543271278,0.007760862543271277,True
Top1,halogen_bond,GNINA-Crystal,AlphaFold3,0.23719441995563506,0.4743888399112701,False
Top1,halogen_bond,GNINA-Apo,GNINA-AF3,0.009155135927424408,0.03051711975808136,True
Top1,halogen_bond,GNINA-Apo,AlphaFold3,0.7329249753588933,0.7504298147831994,False
Top1,halogen_bond,GNINA-AF3,AlphaFold3,0.022523944991710853,0.05630986247927713,False
