method,source,model,n_poses,n_targets,pcc,pcc_ci_low,pcc_ci_high,rmse,rmse_ci_low,rmse_ci_high,n_boot_pcc,n_boot_rmse
mean,gnina-af3,gign,30,284,0.5119837481737304,0.4276019664119251,0.5896496933917742,2.2732210151118766,2.092820131083019,2.453257292634504,20000,20000
mean,gnina-af3,gign,50,284,0.5051430824782369,0.4215002970444295,0.5827478456997796,2.290764944293349,2.1095460554392202,2.472353071414072,20000,20000
mean,gnina-af3,gign,100,284,0.5012344227381819,0.4180480133563237,0.5784563583918977,2.317464080228911,2.1365415410472823,2.4989832480901066,20000,20000
mean,gnina-af3,onionnet-2,1,285,0.5216699587380191,0.43252882163865775,0.6035842341217388,2.222328263615247,2.0225150659902846,2.4244528911014425,20000,20000
mean,gnina-af3,onionnet-2,2,285,0.5508037775473122,0.4683917481155649,0.6258737469036889,2.214111940776589,2.0204216643077153,2.409116767314247,20000,20000
mean,gnina-af3,onionnet-2,3,285,0.5415813561539319,0.46189463924156193,0.6148966039308436,2.230444834622098,2.0399849135284382,2.4228973848221758,20000,20000
mean,gnina-af3,onionnet-2,5,285,0.5437132370027031,0.4651537252977372,0.6148855358991634,2.2382575388136505,2.0491096157214175,2.4279434751349993,20000,20000
mean,gnina-af3,onionnet-2,10,285,0.5342299358553041,0.4561302933203857,0.6059382136570041,2.263617031955405,2.072055483700704,2.4560881583624052,20000,20000
mean,gnina-af3,onionnet-2,20,285,0.5261915799036438,0.4475394144178561,0.5982596316822015,2.288482235197446,2.0957606943008766,2.4808964772996203,20000,20000
mean,gnina-af3,onionnet-2,30,285,0.5240566048179842,0.4446154278892648,0.597190380424595,2.2992250163947414,2.1054606170590544,2.4933001336472405,20000,20000
mean,gnina-af3,onionnet-2,50,285,0.5208759286216483,0.44122882165295935,0.5945756356797549,2.3107729510012747,2.116921842841306,2.5049086181596554,20000,20000
mean,gnina-af3,onionnet-2,100,285,0.526817529748473,0.4480833048719314,0.599416920839673,2.312395736344369,2.1185611406812246,2.5057367079427646,20000,20000
mean,alphafold3,dynaformer,1,285,0.6595836594482455,0.5933092121504636,0.7204326794921153,1.6396465519596195,1.5019642610326132,1.774238178575108,20000,20000
mean,alphafold3,dynaformer,2,285,0.6611660341587302,0.593951044128671,0.7226297565787793,1.6357212545959547,1.4978580819112401,1.7701936424432831,20000,20000
mean,alphafold3,dynaformer,3,285,0.6701800589074175,0.6038473220365491,0.7298480055357791,1.6186873492856904,1.483403836200706,1.7514618050307165,20000,20000
mean,alphafold3,dynaformer,5,285,0.67829952694087,0.6139756228551787,0.7370522506855327,1.6014694013732724,1.4668305160586663,1.7339199654531199,20000,20000
mean,alphafold3,dynaformer,10,285,0.6776713768058714,0.6117587081819973,0.7371913983621469,1.6039324434882536,1.4691955163947084,1.7370117196259223,20000,20000
mean,alphafold3,dynaformer,20,285,0.6772352262199511,0.6106525560311804,0.7368924355794878,1.605270116698146,1.4702676550525187,1.7376657217846045,20000,20000
mean,alphafold3,dynaformer,30,285,0.6814938694018481,0.6163681206214682,0.7401116285421288,1.5973594538097118,1.4635947175342923,1.7287036606399329,20000,20000
