method,source,model,n_poses,pcc,rmse,n_targets
mean,gnina-af3,ehign_pla,10,0.5751240751643502,2.314709942413133,284
mean,gnina-af3,ehign_pla,20,0.5518320726626788,2.3600436306728434,284
mean,gnina-af3,ehign_pla,30,0.5471828681766873,2.3864109246499243,284
mean,gnina-af3,ehign_pla,50,0.5409006675941137,2.4201279641643616,284
mean,gnina-af3,ehign_pla,100,0.5391231327641525,2.469183197914628,284
mean,gnina-af3,gign,1,0.4710330928535892,2.2418075468062635,284
mean,gnina-af3,gign,2,0.5170968176826325,2.191748169167407,284
mean,gnina-af3,gign,3,0.529076848473326,2.183946755101218,284
mean,gnina-af3,gign,5,0.516879657534815,2.2171539330931873,284
mean,gnina-af3,gign,10,0.5413385169839287,2.221684781816183,284
mean,gnina-af3,gign,20,0.5265791822096353,2.2486012237305966,284
mean,gnina-af3,gign,30,0.5119837481737304,2.2732210151118766,284
mean,gnina-af3,gign,50,0.5051430824782369,2.290764944293349,284
mean,gnina-af3,gign,100,0.5012344227381819,2.317464080228911,284
mean,gnina-af3,onionnet-2,1,0.5216699587380191,2.222328263615247,285
mean,gnina-af3,onionnet-2,2,0.5508037775473122,2.214111940776589,285
mean,gnina-af3,onionnet-2,3,0.5415813561539319,2.230444834622098,285
mean,gnina-af3,onionnet-2,5,0.5437132370027031,2.2382575388136505,285
mean,gnina-af3,onionnet-2,10,0.5342299358553041,2.263617031955405,285
mean,gnina-af3,onionnet-2,20,0.5261915799036438,2.288482235197446,285
mean,gnina-af3,onionnet-2,30,0.5240566048179842,2.2992250163947414,285
mean,gnina-af3,onionnet-2,50,0.5208759286216483,2.3107729510012747,285
mean,gnina-af3,onionnet-2,100,0.526817529748473,2.312395736344369,285
mean,alphafold3,dynaformer,1,0.6595836594482455,1.6396465519596195,285
mean,alphafold3,dynaformer,2,0.6611660341587302,1.6357212545959547,285
mean,alphafold3,dynaformer,3,0.6701800589074175,1.6186873492856904,285
mean,alphafold3,dynaformer,5,0.67829952694087,1.6014694013732724,285
