method,n_poses,source_a,source_b,n_targets,delta_pcc_a_minus_b,delta_pcc_ci_low,delta_pcc_ci_high,delta_pcc_p_two_sided,n_boot_pcc,delta_rmse_a_minus_b,delta_rmse_ci_low,delta_rmse_ci_high,delta_rmse_p_two_sided,n_boot_rmse
median,1,gnina-apo,alphafold3,268,-0.11440111432472022,-0.1799398407125069,-0.05200372758865086,0.0004,20000,0.29743037841208664,0.16808164986135643,0.42801713806124797,0.0,20000
median,1,gnina-af3,alphafold3,270,-0.16924229681604197,-0.23980790460053616,-0.1024704002797532,0.0,20000,0.5261428076753591,0.3931108881552388,0.6626751179773556,0.0,20000
median,2,gnina-crystal,gnina-apo,281,0.18705679013374799,0.1371159594999849,0.24085656958515594,0.0,20000,-0.5116334712619215,-0.6301148954043325,-0.39640685977603435,0.0,20000
median,2,gnina-crystal,gnina-af3,282,0.2483583731889848,0.18919539076888617,0.31157520673062755,0.0,20000,-0.7784916718702399,-0.9104266462601277,-0.6424653692897785,0.0,20000
median,2,gnina-crystal,alphafold3,269,0.10732875045971868,0.05953501621476976,0.15966095706021527,0.0,20000,-0.25675935813156947,-0.36616040808923656,-0.14986693442565596,0.0,20000
median,2,gnina-apo,gnina-af3,283,0.057097415970585375,0.0038359185396178224,0.11172294744045841,0.0374,20000,-0.25017980471133683,-0.34628618292824587,-0.15447048991239318,0.0,20000
median,2,gnina-apo,alphafold3,269,-0.09025669207858722,-0.15405985869031535,-0.02776433996298366,0.0039,20000,0.27235176290845087,0.1437987187798822,0.4060553607773451,0.0,20000
median,2,gnina-af3,alphafold3,270,-0.14122427355322886,-0.20916776681829197,-0.07715792160612812,0.0,20000,0.5083028913900762,0.3793400260020438,0.6404581670041045,0.0,20000
median,3,gnina-crystal,gnina-apo,281,0.19183397181583772,0.1422971465251538,0.24622818694930354,0.0,20000,-0.5194021722650222,-0.6344492647799986,-0.4084079624640601,0.0,20000
median,3,gnina-crystal,gnina-af3,282,0.2629066829087645,0.20365867309042623,0.32498119111728685,0.0,20000,-0.8037197922234225,-0.9328872339766963,-0.6695443080562783,0.0,20000
median,3,gnina-crystal,alphafold3,269,0.10401295161979307,0.0545939980221149,0.15717019077010555,0.0001,20000,-0.24729361490465918,-0.3578918428795342,-0.1384614477419779,0.0001,20000
median,3,gnina-apo,gnina-af3,283,0.06900146971899468,0.01309160602499884,0.1246623628854948,0.0134,20000,-0.2712288165323349,-0.3688971520849333,-0.1733160863304741,0.0,20000
median,3,gnina-apo,alphafold3,269,-0.09549324390821068,-0.16057904962892527,-0.03230744274063061,0.0034,20000,0.28507991568205737,0.15501937666673957,0.420347760821513,0.0,20000
median,3,gnina-af3,alphafold3,270,-0.15853559848991206,-0.22980015001644555,-0.09186173553426125,0.0,20000,0.5432875142153035,0.4098522435565777,0.6801001220344765,0.0,20000
median,5,gnina-crystal,gnina-apo,281,0.1880243583362251,0.1422901781530717,0.23819432781546906,0.0,20000,-0.5119847629209735,-0.6169934489904182,-0.4097502394551697,0.0,20000
median,5,gnina-crystal,gnina-af3,282,0.25398098426942917,0.199519992734741,0.3107545394267543,0.0,20000,-0.7764940864854237,-0.8947515376920483,-0.6548396547950159,0.0,20000
median,5,gnina-crystal,alphafold3,269,0.09746764842832434,0.04922440342744071,0.14831653881572965,0.0001,20000,-0.21536981663014543,-0.3176899021286415,-0.11165276387405622,0.0001,20000
median,5,gnina-apo,gnina-af3,283,0.06516557260818023,0.018001334348387393,0.11339394501179445,0.0058,20000,-0.2524773598328447,-0.33737163999256203,-0.1692076154408725,0.0,20000
median,5,gnina-apo,alphafold3,269,-0.09722392735534435,-0.16315303740994727,-0.033059639571601705,0.0033,20000,0.30428871188108286,0.17235565647126525,0.4417896148340221,0.0,20000
median,5,gnina-af3,alphafold3,270,-0.15626826061459842,-0.22661539426028593,-0.08991036010462448,0.0,20000,0.5444868321634129,0.41097198020761694,0.6818621042551523,0.0,20000
median,10,gnina-crystal,gnina-apo,281,0.1526078903272603,0.10658659936988467,0.20233020197555932,0.0,20000,-0.43560698390450714,-0.5352440026853359,-0.33614568927426014,0.0,20000
median,10,gnina-crystal,gnina-af3,282,0.2236454042035495,0.16940723903018337,0.27943247878321636,0.0,20000,-0.6938649874029923,-0.8094261758397668,-0.5757692772508902,0.0,20000
median,10,gnina-crystal,alphafold3,269,0.0626130874146471,0.012625713296615108,0.114626368007177,0.0137,20000,-0.1030429737771128,-0.21190790299324141,0.005311021226971499,0.0633,20000
median,10,gnina-apo,gnina-af3,283,0.06859336400658467,0.021584300352923743,0.11654666311997053,0.0036,20000,-0.2456865837053166,-0.3285771396830146,-0.1650750851463751,0.0,20000
median,10,gnina-apo,alphafold3,269,-0.09833955641699665,-0.167491069982836,-0.030536266993362177,0.0045,20000,0.33958754934923197,0.20016340152025275,0.4807239842962641,0.0,20000
median,10,gnina-af3,alphafold3,270,-0.16114631282208924,-0.23335899267908827,-0.09212415155249,0.0,20000,0.5736175155283603,0.435690397124466,0.7154012241529248,0.0,20000
median,20,gnina-crystal,gnina-apo,282,0.12804961462286768,0.07975047229102075,0.1789110276018163,0.0,20000,-0.37516537736215283,-0.4748845663345341,-0.2781800636778683,0.0,20000
median,20,gnina-crystal,gnina-af3,282,0.19878775999450427,0.14543240645907726,0.25329703488427857,0.0,20000,-0.6014896862393118,-0.7066839343766431,-0.4945501354341504,0.0,20000
median,20,gnina-crystal,alphafold3,269,0.03020957716072914,-0.025137394548353138,0.0858403207964928,0.2947,20000,0.010674017585766915,-0.10608056657007814,0.12874451929450564,0.8522,20000
median,20,gnina-apo,gnina-af3,284,0.06838549884569356,0.014933289116259019,0.12131673940399858,0.0125,20000,-0.22380245090518702,-0.30722872226521186,-0.14076972591881634,0.0,20000
median,20,gnina-apo,alphafold3,270,-0.09929316493749762,-0.16525379092747702,-0.03476451134638812,0.0036,20000,0.3757298954277919,0.24338147181059164,0.5112996888289353,0.0,20000
median,20,gnina-af3,alphafold3,270,-0.16937688479227342,-0.2433663276668089,-0.0988517950437421,0.0,20000,0.5946223879222237,0.4571083191601086,0.7365401158183048,0.0,20000
median,30,gnina-crystal,gnina-apo,282,0.10508828795591563,0.05932604996191957,0.15216425373868073,0.0001,20000,-0.31844271610480557,-0.4095021919465357,-0.22858068057458494,0.0,20000
median,30,gnina-crystal,gnina-af3,282,0.18398917574568274,0.13207057775973893,0.2366904386257065,0.0,20000,-0.5496798734752384,-0.6489035106268305,-0.4485030995949796,0.0,20000
median,30,gnina-crystal,alphafold3,269,0.012467872336181518,-0.04570737802893232,0.07029401787207068,0.6858,20000,0.07409588567232461,-0.04368682637636749,0.19513746636654314,0.2197,20000
median,30,gnina-apo,gnina-af3,284,0.07654005668897945,0.026647596467553703,0.12653084630291853,0.0027,20000,-0.2286416977803718,-0.30944586853942363,-0.1490260535702516,0.0,20000
median,30,gnina-apo,alphafold3,270,-0.09240639415158225,-0.15869893639287344,-0.027485784660966454,0.0074,20000,0.3796209619888482,0.2466928291315155,0.5153871361157863,0.0,20000
median,30,gnina-af3,alphafold3,270,-0.17046821837080994,-0.2447111404111956,-0.09968602419132654,0.0,20000,0.6033934469808777,0.46515706699556575,0.7456454680099885,0.0,20000
median,50,gnina-crystal,gnina-apo,282,0.09598542958330314,0.04946452509572746,0.14376576649269684,0.0001,20000,-0.28490997803783835,-0.3730598615145833,-0.19727611240044612,0.0,20000
median,50,gnina-crystal,gnina-af3,282,0.17585966272237163,0.12420179147617696,0.228139762032469,0.0,20000,-0.5089082233999538,-0.6030750749401366,-0.4120005383737396,0.0,20000
median,50,gnina-crystal,alphafold3,269,0.002819490528091384,-0.057595160658983166,0.06267189975850901,0.933,20000,0.12223359131872225,0.001986774132859732,0.2465174865375599,0.0463,20000
median,50,gnina-apo,gnina-af3,284,0.07745482258860403,0.02747267883303722,0.12777145865418443,0.0018,20000,-0.22122419959331507,-0.2991614177485088,-0.1445030012588435,0.0,20000
median,50,gnina-apo,alphafold3,270,-0.09337564578599222,-0.16007106295824564,-0.02768455186417693,0.0074,20000,0.3945469145301437,0.2609747693961366,0.5296805820054381,0.0,20000
median,50,gnina-af3,alphafold3,270,-0.17261232723092668,-0.2471601953760964,-0.10166172060032552,0.0,20000,0.6129924871181931,0.4746021493897542,0.7554724265831627,0.0,20000
median,100,gnina-crystal,gnina-apo,282,0.07036136473954413,0.024332115445896106,0.11858446592455898,0.0023,20000,-0.2181313234833291,-0.3038385262674992,-0.13545309710206377,0.0,20000
median,100,gnina-crystal,gnina-af3,282,0.1458530770307086,0.09753565421730329,0.1952469190356003,0.0,20000,-0.42142146792415236,-0.5082704120109032,-0.3344143417230001,0.0,20000
median,100,gnina-crystal,alphafold3,269,-0.019626309484673476,-0.08325400075399429,0.04379595654665236,0.5336,20000,0.20897512709149701,0.08366616565418315,0.3369633610734471,0.0008,20000
median,100,gnina-apo,gnina-af3,284,0.07334831296769428,0.02495898353818103,0.1212808121973335,0.0024,20000,-0.2009856015372833,-0.27390301192913297,-0.1284123170817296,0.0,20000
median,100,gnina-apo,alphafold3,270,-0.09054506088091852,-0.1594235482669838,-0.022012699900682352,0.0115,20000,0.41503826014189027,0.27908076692436606,0.5531061283803228,0.0,20000
median,100,gnina-af3,alphafold3,270,-0.16602043059500482,-0.23729346976496615,-0.09666905456002138,0.0,20000,0.6150961972502671,0.47895602911838453,0.7545225404448935,0.0,20000
